modo,threads,chunk,tiempo,primos
secuencial,1,NA,373.70330691337585,21336326
paralelo,1,NA,360.8717064857483,21336326
paralelo,2,NA,229.99196815490723,21336326
paralelo,4,NA,130.42529845237732,21336326
paralelo,6,NA,94.63416934013367,21336326
paralelo,8,NA,76.48045492172241,21336326
paralelo,10,NA,66.74914360046387,21336326
paralelo,12,NA,62.655417919158936,21336326
