modo,threads,chunk,tiempo,primos
secuencial,1,NA,226.06280159950256,21336326
paralelo,1,NA,224.95739650726318,21336326
paralelo,2,NA,144.6194565296173,21336326
paralelo,4,NA,78.59114599227905,21336326
paralelo,6,NA,56.2486572265625,21336326
paralelo,8,NA,45.707871437072754,21336326
paralelo,10,NA,41.76266264915466,21336326
paralelo,12,NA,38.12427353858948,21336326
paralelo,16,NA,33.77875065803528,21336326
